time,latitude,longitude,sst
UTC,degrees_north,degrees_east,
1981-09-01T00:00:00Z,9.375,74.625,27.5
1981-09-01T00:00:00Z,9.375,74.875,27.56
1981-09-01T00:00:00Z,9.375,75.125,27.57
1981-09-01T00:00:00Z,9.375,75.375,27.439999
1981-09-01T00:00:00Z,9.375,75.625,27.439999
1981-09-01T00:00:00Z,9.375,75.875,27.359999
1981-09-01T00:00:00Z,9.375,76.125,27.109999
1981-09-01T00:00:00Z,9.375,76.375,27.119999
1981-09-01T00:00:00Z,9.375,76.625,NaN
1981-09-01T00:00:00Z,9.375,76.875,NaN
1981-09-01T00:00:00Z,9.375,77.125,NaN
1981-09-01T00:00:00Z,9.375,77.375,NaN
1981-09-01T00:00:00Z,9.375,77.625,NaN
1981-09-01T00:00:00Z,9.375,77.875,NaN
1981-09-01T00:00:00Z,9.375,78.125,NaN
1981-09-01T00:00:00Z,9.625,72.125,27.8
1981-09-01T00:00:00Z,9.625,72.375,27.869999
1981-09-01T00:00:00Z,9.625,72.625,27.72
1981-09-01T00:00:00Z,9.625,72.875,27.68
1981-09-01T00:00:00Z,9.625,73.125,27.48
1981-09-01T00:00:00Z,9.625,73.375,27.39
1981-09-01T00:00:00Z,9.625,73.625,27.32
1981-09-01T00:00:00Z,9.625,73.875,27.3
1981-09-01T00:00:00Z,9.625,74.125,27.279999
1981-09-01T00:00:00Z,9.625,74.375,27.24
1981-09-01T00:00:00Z,9.625,74.625,27.18
1981-09-01T00:00:00Z,9.625,74.875,27.15
1981-09-01T00:00:00Z,9.625,75.125,27.119999
1981-09-01T00:00:00Z,9.625,75.375,27.07
1981-09-01T00:00:00Z,9.625,75.625,27.109999
1981-09-01T00:00:00Z,9.625,75.875,27.07
1981-09-01T00:00:00Z,9.625,76.125,26.9
1981-09-01T00:00:00Z,9.625,76.375,NaN
1981-09-01T00:00:00Z,9.625,76.625,NaN
1981-09-01T00:00:00Z,9.625,76.875,NaN
1981-09-01T00:00:00Z,9.625,77.125,NaN
1981-09-01T00:00:00Z,9.625,77.375,NaN
1981-09-01T00:00:00Z,9.625,77.625,NaN
1981-09-01T00:00:00Z,9.625,77.875,NaN
1981-09-01T00:00:00Z,9.625,78.125,NaN
1981-09-01T00:00:00Z,9.875,72.125,27.689999
1981-09-01T00:00:00Z,9.875,72.375,27.699999
1981-09-01T00:00:00Z,9.875,72.625,27.75
1981-09-01T00:00:00Z,9.875,72.875,27.75
1981-09-01T00:00:00Z,9.875,73.125,27.55
1981-09-01T00:00:00Z,9.875,73.375,27.32
1981-09-01T00:00:00Z,9.875,73.625,27.26
1981-09-01T00:00:00Z,9.875,73.875,27.199999
1981-09-01T00:00:00Z,9.875,74.125,27.099998
1981-09-01T00:00:00Z,9.875,74.375,26.96
1981-09-01T00:00:00Z,9.875,74.625,26.76
1981-09-01T00:00:00Z,9.875,74.875,26.64
1981-09-01T00:00:00Z,9.875,75.125,26.64
1981-09-01T00:00:00Z,9.875,75.375,26.68
1981-09-01T00:00:00Z,9.875,75.625,26.789999
1981-09-01T00:00:00Z,9.875,75.875,26.84
1981-09-01T00:00:00Z,9.875,76.125,26.76
1981-09-01T00:00:00Z,9.875,76.375,NaN
1981-09-01T00:00:00Z,9.875,76.625,NaN
1981-09-01T00:00:00Z,9.875,76.875,NaN
1981-09-01T00:00:00Z,9.875,77.125,NaN
1981-09-01T00:00:00Z,9.875,77.375,NaN
1981-09-01T00:00:00Z,9.875,77.625,NaN
1981-09-01T00:00:00Z,9.875,77.875,NaN
1981-09-01T00:00:00Z,9.875,78.125,NaN
1981-09-01T00:00:00Z,10.125,72.125,27.5
1981-09-01T00:00:00Z,10.125,72.375,27.689999
1981-09-01T00:00:00Z,10.125,72.625,27.8
1981-09-01T00:00:00Z,10.125,72.875,27.91
1981-09-01T00:00:00Z,10.125,73.125,27.73
1981-09-01T00:00:00Z,10.125,73.375,27.47
1981-09-01T00:00:00Z,10.125,73.625,27.359999
1981-09-01T00:00:00Z,10.125,73.875,27.23
1981-09-01T00:00:00Z,10.125,74.125,27.07
1981-09-01T00:00:00Z,10.125,74.375,26.769999
1981-09-01T00:00:00Z,10.125,74.625,26.47
1981-09-01T00:00:00Z,10.125,74.875,26.269999
1981-09-01T00:00:00Z,10.125,75.125,26.22
1981-09-01T00:00:00Z,10.125,75.375,26.3
1981-09-01T00:00:00Z,10.125,75.625,26.46
1981-09-01T00:00:00Z,10.125,75.875,26.57
1981-09-01T00:00:00Z,10.125,76.125,26.619999
1981-09-01T00:00:00Z,10.125,76.375,NaN
1981-09-01T00:00:00Z,10.125,76.625,NaN
1981-09-01T00:00:00Z,10.125,76.875,NaN
1981-09-01T00:00:00Z,10.125,77.125,NaN
1981-09-01T00:00:00Z,10.125,77.375,NaN
1981-09-01T00:00:00Z,10.125,77.625,NaN
1981-09-01T00:00:00Z,10.125,77.875,NaN
1981-09-01T00:00:00Z,10.125,78.125,NaN
1981-09-01T00:00:00Z,10.375,72.125,27.609999
1981-09-01T00:00:00Z,10.375,72.375,27.769999
1981-09-01T00:00:00Z,10.375,72.625,27.949999
1981-09-01T00:00:00Z,10.375,72.875,27.939999
1981-09-01T00:00:00Z,10.375,73.125,27.789999
1981-09-01T00:00:00Z,10.375,73.375,27.51
1981-09-01T00:00:00Z,10.375,73.625,27.349998
1981-09-01T00:00:00Z,10.375,73.875,27.24
1981-09-01T00:00:00Z,10.375,74.125,27.07
1981-09-01T00:00:00Z,10.375,74.375,26.699999
1981-09-01T00:00:00Z,10.375,74.625,26.31
1981-09-01T00:00:00Z,10.375,74.875,25.98
1981-09-01T00:00:00Z,10.375,75.125,25.92
1981-09-01T00:00:00Z,10.375,75.375,25.949999
1981-09-01T00:00:00Z,10.375,75.625,26.13
1981-09-01T00:00:00Z,10.375,75.875,26.32
1981-09-01T00:00:00Z,10.375,76.125,26.529999
1981-09-01T00:00:00Z,10.375,76.375,NaN
1981-09-01T00:00:00Z,10.375,76.625,NaN
1981-09-01T00:00:00Z,10.375,76.875,NaN
1981-09-01T00:00:00Z,10.375,77.125,NaN
1981-09-01T00:00:00Z,10.375,77.375,NaN
1981-09-01T00:00:00Z,10.375,77.625,NaN
1981-09-01T00:00:00Z,10.375,77.875,NaN
1981-09-01T00:00:00Z,10.375,78.125,NaN
1981-09-01T00:00:00Z,10.625,72.125,27.82
1981-09-01T00:00:00Z,10.625,72.375,27.99
1981-09-01T00:00:00Z,10.625,72.625,28.01
1981-09-01T00:00:00Z,10.625,72.875,27.97
1981-09-01T00:00:00Z,10.625,73.125,27.859999
1981-09-01T00:00:00Z,10.625,73.375,27.64
1981-09-01T00:00:00Z,10.625,73.625,27.369999
1981-09-01T00:00:00Z,10.625,73.875,27.26
1981-09-01T00:00:00Z,10.625,74.125,27.039999
1981-09-01T00:00:00Z,10.625,74.375,26.68
1981-09-01T00:00:00Z,10.625,74.625,26.17
1981-09-01T00:00:00Z,10.625,74.875,25.949999
1981-09-01T00:00:00Z,10.625,75.125,25.76
1981-09-01T00:00:00Z,10.625,75.375,25.75
1981-09-01T00:00:00Z,10.625,75.625,25.9
1981-09-01T00:00:00Z,10.625,75.875,26.08
1981-09-01T00:00:00Z,10.625,76.125,NaN
1981-09-01T00:00:00Z,10.625,76.375,NaN
1981-09-01T00:00:00Z,10.625,76.625,NaN
1981-09-01T00:00:00Z,10.625,76.875,NaN
1981-09-01T00:00:00Z,10.625,77.125,NaN
1981-09-01T00:00:00Z,10.625,77.375,NaN
1981-09-01T00:00:00Z,10.625,77.625,NaN
1981-09-01T00:00:00Z,10.625,77.875,NaN
1981-09-01T00:00:00Z,10.625,78.125,NaN
1981-09-01T00:00:00Z,10.875,72.125,27.96
1981-09-01T00:00:00Z,10.875,72.375,28.01
1981-09-01T00:00:00Z,10.875,72.625,28.029999
1981-09-01T00:00:00Z,10.875,72.875,27.91
1981-09-01T00:00:00Z,10.875,73.125,27.72
1981-09-01T00:00:00Z,10.875,73.375,27.49
1981-09-01T00:00:00Z,10.875,73.625,27.25
1981-09-01T00:00:00Z,10.875,73.875,27.17
1981-09-01T00:00:00Z,10.875,74.125,26.98
1981-09-01T00:00:00Z,10.875,74.375,26.74
1981-09-01T00:00:00Z,10.875,74.625,26.289999
1981-09-01T00:00:00Z,10.875,74.875,26.07
1981-09-01T00:00:00Z,10.875,75.125,25.859999
1981-09-01T00:00:00Z,10.875,75.375,25.81
1981-09-01T00:00:00Z,10.875,75.625,25.92
1981-09-01T00:00:00Z,10.875,75.875,26.06
1981-09-01T00:00:00Z,10.875,76.125,NaN
1981-09-01T00:00:00Z,10.875,76.375,NaN
1981-09-01T00:00:00Z,10.875,76.625,NaN
1981-09-01T00:00:00Z,10.875,76.875,NaN
1981-09-01T00:00:00Z,10.875,77.125,NaN
1981-09-01T00:00:00Z,10.875,77.375,NaN
1981-09-01T00:00:00Z,10.875,77.625,NaN
1981-09-01T00:00:00Z,10.875,77.875,NaN
1981-09-01T00:00:00Z,10.875,78.125,NaN
1981-09-01T00:00:00Z,11.125,72.125,27.91
1981-09-01T00:00:00Z,11.125,72.375,27.9
1981-09-01T00:00:00Z,11.125,72.625,27.9
1981-09-01T00:00:00Z,11.125,72.875,27.83
1981-09-01T00:00:00Z,11.125,73.125,27.609999
1981-09-01T00:00:00Z,11.125,73.375,27.449999
1981-09-01T00:00:00Z,11.125,73.625,27.23
1981-09-01T00:00:00Z,11.125,73.875,27.039999
1981-09-01T00:00:00Z,11.125,74.125,26.939999
1981-09-01T00:00:00Z,11.125,74.375,26.68
1981-09-01T00:00:00Z,11.125,74.625,26.25
1981-09-01T00:00:00Z,11.125,74.875,25.96
1981-09-01T00:00:00Z,11.125,75.125,25.949999
1981-09-01T00:00:00Z,11.125,75.375,25.82
1981-09-01T00:00:00Z,11.125,75.625,25.89
1981-09-01T00:00:00Z,11.125,75.875,26.01
1981-09-01T00:00:00Z,11.125,76.125,NaN
1981-09-01T00:00:00Z,11.125,76.375,NaN
1981-09-01T00:00:00Z,11.125,76.625,NaN
1981-09-01T00:00:00Z,11.125,76.875,NaN
1981-09-01T00:00:00Z,11.125,77.125,NaN
1981-09-01T00:00:00Z,11.125,77.375,NaN
1981-09-01T00:00:00Z,11.125,77.625,NaN
1981-09-01T00:00:00Z,11.125,77.875,NaN
1981-09-01T00:00:00Z,11.125,78.125,NaN
1981-09-01T00:00:00Z,11.375,72.125,27.91
1981-09-01T00:00:00Z,11.375,72.375,27.91
